Institution,ImageCount,LinkCount,FormCount,StylesheetCount,ScriptCount,CertificateInfo,HostInfo,Title,Description
Fox Valley Technical College,11,165,1,5,11,N/A,N/A,N/A,N/A
Northeast Wisconsin Technical College,13,145,3,7,6,N/A,N/A,N/A,"Northeast Wisconsin Technical College is a nationally-ranked, 2-year public college where students prepare for high-tech careers and begin bachelor’s degrees."
Moraine Park Technical College,39,119,2,18,18,N/A,N/A,N/A,"Whether you’re looking to fulfill childhood career dreams or you’re just starting to explore, Moraine Park provides you with the skills to succeed."
Lakeshore Technical College,22,113,0,4,25,N/A,N/A,N/A,Welcome to Lakeshore College. We now offer Associates of Science and Associates of Art degrees. Save money and get your General Education credits before attending a 4-year college.
Madison College,20,181,2,2,12,N/A,N/A,N/A,"Madison College provides top, hands-on training in 190+ degree and certificate programs at 7 local campuses with online, accelerated and part-time options. Consider dozens of direct college transfer options. Or simply take a class for fun!"
Mid-State Technical College,145,582,2,3,5,N/A,N/A,N/A,N/A
Northcentral Technical College,10,71,2,4,7,N/A,N/A,N/A,"190+ accredited associate degree, technical diploma, or certificate options available. NTC has six campuses and offers online college programs and courses."
Waukesha County Technical College,22,201,1,2,7,N/A,N/A,N/A,N/A
Gateway Technical College,22,52,1,6,4,N/A,N/A,N/A,"Gateway Technical College, located in Kenosha, Racine, and Walworth counties, provides education, training, leadership, and technological resources to meet the changing needs of students, employers, and communities."
Western Technical College,24,269,2,10,9,N/A,N/A,N/A,"Western Technical College in La Crosse, WI offers the affordable path to a great career. Our programs provide the skills and experience needed in the workforce today through hands-on education with flexible learning options."
University of Wisconsin-Madison,12,85,2,4,5,N/A,N/A,N/A,"The University of Wisconsin is a top-ranked research institution located in Madison, Wisconsin, providing exceptional education opportunities to undergraduates, graduate and professional students."
University of Wisconsin-Eau Claire,25,102,1,6,10,N/A,N/A,N/A,N/A
University of Wisconsin-Green Bay,12,309,1,1,6,N/A,N/A,N/A,N/A
University of Wisconsin-La Crosse,37,199,1,7,8,N/A,N/A,N/A,"Explore UW-La Crosse. UWL is Wisconsin’s top-ranked public university among peers, according to U.S. News & World Report’s Best Colleges list."
University of Wisconsin-Oshkosh,5,79,0,14,6,N/A,N/A,N/A,N/A
University of Wisconsin-Parkside,36,250,2,2,7,N/A,N/A,N/A,N/A
University of Wisconsin-Platteville,14,79,1,6,8,N/A,N/A,N/A,The University of Wisconsin-Platteville is committed to being the top university in Wisconsin and beyond. Click here to learn more about us.
University of Wisconsin-River Falls,19,195,1,6,5,N/A,N/A,N/A,N/A
University of Wisconsin-Stevens Point,21,187,0,7,13,N/A,N/A,N/A,UW-Stevens Point empowers students to discover their purpose at a price that is affordable. Take the next steps to apply today.
